time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-05-31 22:00:00,2021-06-01 00:00:00,10.9,6.8,76,0,,230,4,9.3,1021.1,0,3
2021-05-31 23:00:00,2021-06-01 01:00:00,10.4,7.8,84,0,,310,11,11.1,1021.2,0,3
2021-06-01 00:00:00,2021-06-01 02:00:00,9.7,7.6,87,0,0,330,11,13,1020.9,0,3
2021-06-01 01:00:00,2021-06-01 03:00:00,9.7,7.8,88,0,,330,11,13,1020.7,0,3
2021-06-01 02:00:00,2021-06-01 04:00:00,9.3,8.1,92,0,,330,11,14.8,1020.6,0,3
2021-06-01 03:00:00,2021-06-01 05:00:00,9.7,8.6,93,0,,330,14,14.8,1020.2,0,3
2021-06-01 04:00:00,2021-06-01 06:00:00,9.1,8.3,95,0,,330,14,16.7,1020.2,17,3
2021-06-01 05:00:00,2021-06-01 07:00:00,10.8,9.7,93,0,,330,11,16.7,1020.1,19,4
2021-06-01 06:00:00,2021-06-01 08:00:00,14,10.6,80,0,0,300,7,18.5,1020,24,4
2021-06-01 07:00:00,2021-06-01 09:00:00,16.3,10.8,70,0,,320,7,18.5,1019.8,60,4
2021-06-01 08:00:00,2021-06-01 10:00:00,18.9,11.7,63,0,,310,11,22.2,1019.3,60,4
2021-06-01 09:00:00,2021-06-01 11:00:00,20.1,9.6,51,0,,300,11,25.9,1018.8,60,4
2021-06-01 10:00:00,2021-06-01 12:00:00,21.9,8.4,42,0,,290,14,27.8,1018.1,60,4
2021-06-01 11:00:00,2021-06-01 13:00:00,22.9,8.2,39,0,,300,14,31.5,1017.6,60,4
2021-06-01 12:00:00,2021-06-01 14:00:00,22.6,7.9,39,0,0,310,18,29.6,1017.3,23,4
2021-06-01 13:00:00,2021-06-01 15:00:00,23,7.1,36,0,,290,18,31.5,1017,55,4
2021-06-01 14:00:00,2021-06-01 16:00:00,23.4,5.3,31,0,,340,18,31.5,1016.7,60,4
2021-06-01 15:00:00,2021-06-01 17:00:00,22.6,4.1,30,0,,340,14,31.5,1016.5,26,4
2021-06-01 16:00:00,2021-06-01 18:00:00,22.1,4.2,31,0,,350,14,33.3,1016,50,4
2021-06-01 17:00:00,2021-06-01 19:00:00,19.7,5.4,39,0,,360,18,33.3,1016.4,9,4
2021-06-01 18:00:00,2021-06-01 20:00:00,19.3,7.4,46,0,0,360,14,31.5,1016.5,0,3
2021-06-01 19:00:00,2021-06-01 21:00:00,17.7,10.3,62,0,,60,22,29.6,1016.9,0,4
2021-06-01 20:00:00,2021-06-01 22:00:00,16.3,7.8,57,0,,60,18,29.6,1017.6,0,4
2021-06-01 21:00:00,2021-06-01 23:00:00,15.7,6.4,54,0,,50,22,27.8,1017.9,0,7